      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-10-28 18:53:53.55 40.524 -112.170 -2.00  1.68  1.77  15   7.0  0.00  0.00  ex  10  1.90  1.88 -117.1   8  2.00  4.53  -69.7
2012-10-28 22:47:32.88 40.519 -112.160 -2.00  1.38  1.58  12   8.0  0.00  0.00  ex   5  1.64  2.15 -104.6   3  1.76  1.91  -70.0
2012-10-29 18:59:37.37 41.136 -112.912 -1.50  1.23  1.44  11  26.0  0.00  0.00  ex   2  1.81  5.32  -72.4   1  2.32  4.47  -70.3
2012-10-29 19:09:54.42 40.489 -112.168 -2.00  1.73  1.73  13   7.0  0.00  0.00  ex   6  2.12  1.55  -76.3   3  1.90  6.03  -98.4
2012-10-29 20:44:07.48 41.144 -112.924 -1.50 -9.99  1.41   9  26.0  0.00  0.00  ex   3  1.76  5.51 -105.7   1  2.40  1.66  -83.9
2012-10-29 23:26:22.05 40.491 -112.179 -2.00 -9.99  1.30  12   7.0  0.00  0.00  ex   4  1.52  2.89  -79.9   3  1.43  9.76  -60.6
2012-10-30 17:03:05.89 40.519 -112.194 -2.00  1.83  1.71  17  11.0  0.00  0.00  ex   3  2.44  0.51 -137.9   4  1.87  7.98  -64.6
2012-10-30 22:44:45.65 40.524 -112.129 -2.00  1.47  1.51  14   9.0  0.00  0.00  ex   5  1.80  1.60 -104.4   1  1.60  6.70 -117.7
2012-10-31 11:40:18.51 37.082 -112.827 20.57  0.37  0.74  10   7.0  1.70  0.60  eq   3  1.50 10.27 -104.6   0  0.00  0.00    0.0
2012-10-31 17:03:21.39 40.520 -112.170 -2.00  1.63  1.88  18   7.0  0.00  0.00  ex   8  1.84  2.15 -114.3   7  1.94  3.17  -89.5
2012-10-31 17:17:06.14 41.125 -112.915 -1.50  1.05  1.23   7  25.0  0.00  0.00  ex   3  1.75  6.02  -74.7   0  0.00  0.00    0.0
2012-10-31 17:43:03.70 37.045 -112.932 17.21 -9.99  1.12   7  10.0  1.10  0.50  eq   3  1.39  9.76 -124.3   1  1.83 10.64 -114.8
2012-10-31 19:15:53.94 41.133 -112.925 -1.50  1.29  1.17  10  25.0  0.00  0.00  ex   2  1.62  4.44 -123.4   1  2.12  4.98  -60.0
2012-10-31 21:14:17.83 40.522 -112.174 -2.00  1.55  1.30  11   7.0  0.00  0.00  ex   3  2.21  1.39  -91.1   2  1.65 10.02  -71.3
2012-11-01 17:36:07.29 40.497 -112.165 -2.00  1.83  2.08  13   8.0  0.00  0.00  ex  10  2.02  2.59 -120.6   8  2.26  1.80  -74.1
