   Date       Time      Lat     Lon     Dep  Tag   F1    F2    F3    F4     F5    F6    F7     F8    F9   F10   F11   F12
2013-09-18 18:42:18.02 40.646 -109.506 -2.00  ex -0.20 -0.10 -0.13  -84.8 -115.0 13.88 13.75 -0.48 -0.44 -0.56  0.66  0.67
2013-09-25 06:38:48.82 41.124 -111.641 11.85  eq  0.09  0.52  0.45  -97.7 -123.2 15.90 14.78 -0.51 -0.36 -0.31  0.07  0.28
2013-10-02 21:15:14.91 39.538 -112.197 -2.00  ex -0.09 -0.05 -0.02  -81.6 -101.7 14.33 12.93 -0.29 -0.17 -0.04  0.20  0.38
2013-10-03 22:59:14.48 40.648 -109.532 -2.00  ex -0.30 -0.04 -0.24  -97.3 -107.5 13.34 13.66 -0.52 -0.42 -0.44  0.62  0.68
2013-10-12 13:00:38.74 37.087 -112.912 17.66  eq  0.28  0.50  0.55 -128.0 -135.0 16.29 15.39 -0.56 -0.50 -0.42 -0.01  0.13
2013-10-13 21:11:36.24 40.524 -112.166 -2.00  ex -0.02  0.11  0.09  -85.8 -105.9 14.35 12.70 -0.48 -0.41 -0.32  0.05  0.31
2013-10-15 11:37:50.06 37.538 -113.122 11.96  eq  0.07  0.72  0.58 -108.3 -137.2 16.20 15.12 -0.57 -0.39 -0.30 -0.03  0.11
2013-10-17 02:16:18.90 41.509 -111.703  9.84  eq  0.14  0.38  0.38 -115.8 -132.8 16.63 15.53 -0.32 -0.26 -0.12 -0.01  0.23
2013-10-17 16:19:19.95 41.603 -111.684 11.40  eq -0.09  0.14 -0.02 -148.7 -146.9 15.73 15.39 -0.31 -0.23 -0.22  0.42  0.51
2013-10-18 21:03:17.04 40.521 -112.168 -2.00  ex -0.14 -0.09  0.22  -88.8 -134.2 13.74 12.60 -0.31 -0.18 -0.08  0.34  0.52
2013-10-24 08:35:30.32 41.604 -112.426  5.75  eq  0.33  0.92  0.84  -86.2 -118.7 15.36 15.29 -0.54 -0.32 -0.34  0.14  0.28
2013-10-26 17:58:26.88 37.342 -113.166 16.51  eq  0.22  0.48  0.41 -128.8 -163.6 16.97 15.74 -0.58 -0.38 -0.25 -0.01  0.20
2013-10-28 12:31:56.07 41.009 -111.022 21.96  eq  0.14  0.64  0.62 -102.1 -108.7 16.06 14.83 -0.44 -0.53 -0.31 -0.07  0.19
2013-10-30 15:09:05.56 38.111 -112.885 11.77  eq  0.09  0.78  0.61 -135.7 -147.3 17.28 15.59 -0.54 -0.54 -0.36 -0.01  0.10
2013-11-04 19:53:00.11 40.496 -112.172 -2.00  ex  0.00  0.28 -0.09  -68.7  -77.4 15.49 13.37 -0.14 -0.20  0.12  0.03  0.37
2013-11-12 22:53:31.99 40.657 -109.505 -2.00  ex -0.04 -0.04 -0.02  -88.9 -111.1 13.72 13.67 -0.51 -0.47 -0.26  0.56  0.91
2013-11-23 01:46:30.83 41.554 -112.105  8.87  eq -0.07  0.42  0.28 -106.2 -121.6 15.86 15.13 -0.60 -0.50 -0.42 -0.03  0.18
