    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2012-11-28 04:12:48.10  40.497  -111.360  11.0  eq   0.00      X   0.61      X -105.9      X  14.66      X      X      X      X      X  -0.02
2012-11-28 21:05:22.26  39.619  -110.392  -2.5 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-11-28 22:51:40.87  38.962  -112.921  -2.0  ex   0.26   0.42   0.42  -87.9 -107.0  13.56  12.74   0.24   0.23      X      X      X  -0.09
2012-11-30 17:43:25.56  41.112  -111.667  11.4  eq   0.01   1.15   0.40 -113.6 -141.9  17.29  15.09  -0.02  -0.12  -0.11  -0.08  -0.25  -0.20
2012-11-30 18:35:52.12  40.506  -112.184  -2.0  ex      X      X   0.04      X -121.2      X  12.52      X      X      X      X      X      X
2012-12-02 05:05:45.32  40.583  -111.593   6.5  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-02 17:20:03.82  37.629  -113.013   5.9  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-03 17:04:11.13  38.139  -109.112  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-04 23:06:44.79  38.974  -112.919  -2.0  ex   0.07   0.45   0.24 -101.9 -106.5  13.14  13.20   0.13   0.18   0.13   0.39   0.04   0.26
2012-12-04 23:58:33.49  40.514  -112.163  -2.0  ex   0.06   0.45   0.23  -86.5  -93.9  13.42  12.84   0.36   0.37   0.31      X   0.04  -0.02
2012-12-05 05:36:07.03  39.619  -110.394  -1.8 mis      X      X   0.32      X -104.0      X  12.24      X      X      X      X      X      X
2012-12-05 17:31:44.14  38.111  -109.136  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-05 21:13:47.01  39.525  -112.203  -2.0  ex  -0.07  -0.09  -0.05  -57.5  -63.9  15.59  13.90      X   0.13   0.30   0.63      X      X
2012-12-06 10:38:25.53  39.654  -111.215  -3.2 mis  -0.48      X   0.05      X  -89.3      X  12.55      X      X      X      X      X      X
2012-12-06 22:26:53.34  40.586  -109.554  -2.0  ex  -0.22      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-07 21:03:55.45  38.121  -109.117  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-08 08:44:06.24  37.185  -113.874  14.3  eq      X      X   0.93      X -145.8      X  14.58      X      X      X      X      X  -0.17
2012-12-08 23:28:16.03  40.494  -112.177  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-09 02:47:01.59  37.104  -112.866  20.0  eq      X      X   0.62      X -139.0      X  15.31      X      X      X      X      X  -0.57
2012-12-09 06:49:59.83  40.709  -111.419  11.6  eq      X      X   0.92      X -120.2      X  14.25      X      X      X      X      X      X
2012-12-09 16:37:57.09  40.535  -112.171  -2.0  ex  -0.06   0.25   0.29  -67.7  -95.4  15.02  13.11   0.21   0.20      X      X      X      X
2012-12-11 19:15:40.29  38.868  -111.441  21.1  eq   0.33   1.10   0.78 -107.4 -119.7  16.49  14.87      X   0.19   0.14  -0.04      X  -0.37
2012-12-12 20:23:43.38  40.828  -111.900  -2.0  ex  -0.42      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-12 21:00:32.85  38.131  -109.115  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-12 23:40:38.22  40.008  -111.799  -2.0  ex  -0.64      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-13 00:24:56.01  42.168  -112.546   6.3  eq   0.17   0.65   0.59 -110.8 -113.9  15.20  14.52   0.01  -0.02   0.05   0.04   0.09   0.18
2012-12-13 01:57:50.84  41.534  -111.689  13.7  eq      X      X   1.23      X -102.9      X  13.38      X      X      X      X      X      X
2012-12-14 17:33:15.46  39.189  -111.921  19.0  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-14 20:16:08.32  39.620  -110.393  -2.0 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-14 20:49:20.60  39.620  -110.400  -1.0 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-15 00:12:48.94  40.497  -112.161  -2.0  ex  -0.19   0.28   0.24  -90.0 -144.9  13.18  12.65  -0.16  -0.14   0.30      X      X   0.20
2012-12-16 04:39:26.72  36.953  -112.400  23.7  eq   0.04   0.27   0.23 -135.2 -147.9  16.38  15.70  -0.10  -0.12  -0.05  -0.09  -0.29  -0.23
2012-12-20 21:38:43.09  38.148  -109.097  -2.0  ex      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-20 23:40:46.41  40.492  -112.159  -2.0  ex  -0.03   0.26   0.31  -83.8 -129.9  14.62  12.43      X   0.11   0.10   0.12      X   0.13
2012-12-21 00:02:21.22  38.959  -112.922  -2.0  ex  -0.15   0.36   0.17  -89.3 -110.3  13.16  12.58   0.19   0.20   0.26      X      X      X
2012-12-24 12:45:59.72  37.544  -113.072   9.4  eq      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-12-27 10:04:21.87  38.901  -112.029   7.2  eq      X   0.89   0.77  -97.5 -113.8  14.97  14.41  -0.01  -0.12  -0.04   0.03  -0.02   0.04
2012-12-28 21:36:51.70  38.134  -109.117  -2.0  ex      X      X   0.72      X  -67.8      X  11.78      X      X      X      X      X      X
2012-12-28 23:33:44.53  40.508  -112.171  -2.0  ex  -0.21   0.11   0.35  -54.3 -114.5  14.40  12.09      X   0.27   0.49   0.59      X  -0.04
